matricula  U.E.A. Trim Ev. Cal Plan
 209223063 2130034 09O GLO. EQ  56
 209223063 2331062 09O GLO. EQ  56
 209223063 2331064 09O GLO. EQ  56
 209223063 2132075 10I REC. EQ  56
 209223063 2255066 10I GLO. EQ  56
 209223063 2331063 10I GLO. EQ  56
 209223063 2331065 10I GLO. EQ  56
 209223063 2900056 10I GLO. EQ  56
 209223063 2255065 10P GLO. EQ  56
 209223063 2331066 10P GLO. EQ  56
 209223063 2332081 10P GLO. EQ  56
 209223063 2900057 10P GLO. EQ  56
 209223063 2132060 10O GLO. EQ  56
 209223063 2141025 10O GLO. EQ  56
 209223063 2331067 10O GLO. EQ  56
 209223063 2132061 11I GLO. EQ  56
 209223063 2141026 11I GLO. EQ  56
 209223063 2112013 14P GLO. NA  56 BB02
 209223063 2331061 14O GLO. NA  56 BB07
 209223063 2122081 15I GLO. MB  56 BC02
 209223063 2331061 15I GLO. MB  56 BB07
 209223063 2132064 15P GLO. NA  56 BG01
 209223063 2332060 15P GLO. NA  56 BG08
 209223063 2112013 16I GLO. B   56 BB01
 209223063 2332060 16I GLO. S   56 BH08
 209223063 2132062 16P GLO. S   56 BE01
 209223063 2132064 16P GLO. MB  56 BG02
 209223063 2331073 16P GLO. S   56 BI08
 209223063 2132063 16O GLO. S   56 BF01
 209223063 2132065 16O GLO. MB  56 BH01
 209223063 2331072 16O GLO. S   56 BH08
 209223063 2332071 16O GLO. NA  56 BG08
 209223063 2122082 17I GLO. S   56 BF01
 209223063 2211092 17I GLO. MB  56 HE10
 209223063 2332083 17I GLO. NA  56 BJ08
 209223063 2352011 17I GLO. MB  56 BL55
 209223063 2352018 17I GLO. MB  56 BJ55
 209223063 2122083 17P GLO. MB  56 BG51
 209223063 2255183 17P GLO. NA  56 HA01
 209223063 2332066 17P GLO. MB  56 BG58
 209223063 2332074 17P GLO. NA  56 BG08
 209223063 2332083 17P GLO. B   56 BJ08
 209223063 2332086 17P GLO. B   56 BK07
