matricula  U.E.A. Trim Ev. Cal Plan
2112023857 2321080 13P GLO. MB  55 BI06
2112023857 2352035 13P GLO. B   55 BA53
2112023857 2321057 13O GLO. S   55 BC06A
2112023857 2321059 13O GLO. B   55 BF06
2112023857 2321060 13O GLO. S   55 BF06
2112023857 2321081 13O GLO. NA  55 BJ06
2112023857 2321069 14I GLO. B   55 BG06
2112023857 2321071 14I GLO. NA  55 BG06A
2112023857 2321071 14O GLO. NA  55 BG06A
2112023857 2321061 14O GLO. NA  55 BD06A
2112023857 2321081 15P GLO. NA  55 BJ06
2112023857 2321064 15P GLO. MB  55 BD06A
2112023857 2321061 15P GLO. B   55 BD06B
2112023857 2321058 15O GLO. NA  55 BH06A
2112023857 2321074 15O GLO. MB  55 BH06B
2112023857 2321058 16I GLO. NA  55 BH06B
2112023857 2321073 16I GLO. B   55 BH06B
2112023857 2321088 16P GLO. MB  55 BE06
2112023857 2255317 16P GLO. NA  55 BA02
2112023857 2321066 16O GLO. NA  55 BE06B
2112023857 2321090 16O GLO. NA  55 BG06
2112023857 2321066 17I GLO. NA  55 BE06
2112023857 2321058 19I REC. MB  55 J21058
2112023857 2293096 19P REC. S   55 J93096
2112023857 2352011 19O GLO. MB  55 BL55
2112023857 2341094 20O GLO. S   55 BD02
2112023857 2312052 20O GLO. S   55 BB01
2113052441 2255066 12I GLO. EQ  55
2113052441 2321054 12I GLO. EQ  55
2113052441 2300033 13I GLO. MB  55 BA51
2113052441 2300034 13I GLO. S   55 BA04
2113052441 2352035 13I GLO. NA  55 BA51
2113052441 2321056 13P GLO. S   55 BB06B
2113052441 2321067 13P GLO. NA  55 BB06B
2113052441 2321062 13O GLO. NA  55 BC06A
2113052441 2321064 13O GLO. NA  55 BD06A
2113052441 2300035 14I GLO. MB  55 BA06
2113052441 2321051 14I GLO. NA  55 BB06B
2113052441 2321053 15I GLO. S   55 BB06B
2113052441 2321062 15I GLO. B   55 BC06B
2113052441 2321051 15I GLO. S   55 BB06A
2113052441 2321067 15I GLO. S   55 BB06A
2113052441 2321057 15P GLO. NA  55 BC06A
2113052441 2321052 15P GLO. NA  55 BD06B
2113052441 2321064 15O GLO. NA  55 BD06B
2113052441 2321055 16I GLO. NA  55 BD06A
2113052441 2321057 16I GLO. MB  55 BD06A
2113052441 2321052 16P GLO. NA  55 BD06B
2113052441 2321055 16P GLO. NA  55 BC06B
2113052441 2352035 16P GLO. NA  55 BE02
2113052441 2321061 17P GLO. S   55 BD06B
2113052441 2321050 17O GLO. NA  55 BA06
2113052441 2321065 17O GLO. NA  55 BE06A
2113052441 2352035 18P REC. S   55 J52035
2113052441 2321065 18O GLO. MB  55 BE06A
2113052441 2321068 19I GLO. S   55 BF06A
2113052441 2321072 19P GLO. MB  55 BG06B
2113052441 2321089 19P GLO. NA  55 BF06
2113052441 2321090 19P GLO. NA  55 BF06
2113052441 2321090 19P REC. B   55 J21090
2113052441 2321089 19P REC. NA  55 J21089
2113052441 2321063 19O GLO. NA  55 BE06
2113052441 2321076 19O GLO. MB  55 BH06B
2113052441 2321063 19O REC. B   55 J21063
2113052441 2321050 19O REC. MB  55 J21050
2113052441 2321059 20I GLO. S   55 BF06
2113052441 2321060 20I GLO. B   55 BF06A
2113052441 2321080 20I GLO. MB  55 BI06B
2113052441 2321089 20I REC. B   55 J21089
2113052441 2321069 20P GLO. B   55 BG06A
2113052441 2321070 20P GLO. MB  55 BG06A
2113052441 2321055 20P REC. B   55 J21055
2113052441 2321064 20P REC. S   55 J21064
2113052441 2321081 20O GLO. MB  55 BI06B
2113052441 2321088 20O GLO. B   55 BF06A
2113052441 2321066 20O GLO. S   55 BD06A
2113052441 2321091 20O GLO. MB  55 BG06
2113052441 2321058 20O REC. MB  55 J21058
2113052441 2321074 20O REC. S   55 J21074
2113053751 2255066 11O GLO. EQ  55
2113053751 2300033 11O GLO. EQ  55
2113053751 2300034 11O GLO. EQ  55
2113053751 2321054 11O GLO. EQ  55
2113053751 2321053 12I GLO. EQ  55
2113053751 2321056 12I GLO. EQ  55
2113053751 2321055 12P GLO. EQ  55
2113053751 2321065 12P GLO. EQ  55
2113053751 2321068 12O GLO. EQ  55
2113053751 2321062 13I GLO. B   55 BC06
2113053751 2321067 13I GLO. MB  55 BB06D
2113053751 2300035 13P GLO. B   55 BA52A
2113053751 2321052 13P GLO. B   55 BD06A
2113053751 2321064 13P GLO. NA  55 BD06B
2113053751 2352035 13P GLO. B   55 BE01
2113053751 2321057 14I GLO. MB  55 BC06B
2113053751 2321063 14I GLO. MB  55 BE06A
2113053751 2321050 14P GLO. B   55 BA06
2113053751 2321061 14P GLO. MB  55 BD06A
2113053751 2321064 14P GLO. MB  55 BD06A
2113053751 2321089 14O GLO. MB  55 BG06A
2113053751 2321051 14O GLO. MB  55 BB06A
2113053751 2321059 14O GLO. MB  55 BF06
2113053751 2321066 14O GLO. MB  55 BE06A
2113053751 2321060 15I GLO. NA  55 BF06A
2113053751 2321088 15I GLO. B   55 BF06
2113053751 2321060 15P GLO. B   55 BF06A
2113053751 2321070 15P GLO. B   55 BG06A
2113053751 2321069 15O GLO. B   55 BG06A
2113053751 2321071 15O GLO. MB  55 BG06B
2113053751 2321074 15O GLO. MB  55 BH06B
2113053751 2331099 16I GLO. S   55 BI07
2113053751 2321058 16I GLO. NA  55 BH06B
2113053751 2255414 16I GLO. NA  55 HA01
2113053751 2321073 16I GLO. B   55 BH06A
2113053751 2321077 16P GLO. MB  55 BI06A
2113053751 2321072 16P GLO. B   55 BG06A
2113053751 2321082 16P GLO. B   55 BI06A
2113053751 2321079 16P GLO. S   55 BI06A
2113053751 2321058 16O GLO. MB  55 BH06A
2113053751 2321084 16O GLO. MB  55 BJ06A
2113053751 2321083 16O GLO. B   55 BJ06A
2113053751 2281081 17I GLO. MB  55 HH01
2113053751 2332003 17I GLO. NA  55 BH07
2113053751 2321093 17I GLO. B   55 BH06
2113053751 2352033 17I GLO. NA  55 BL05
2113053751 2321097 17P GLO. B   55 BE06
2113053751 2321096 17P GLO. NA  55 BI06B
2113053751 2321085 17P GLO. S   55 BJ06B
2113053751 2352029 17P GLO. B   55 BK55
2113053751 2321076 17O GLO. MB  55 BH06A
2113053751 2211076 17O GLO. NA  55 HA06
2113053751 2321098 17O GLO. S   55 BJ06
2113053751 2321086 17O GLO. B   55 BK06D
2113053751 2293044 18I GLO. MB  55 HH02
2113053751 2321075 18I GLO. MB  55 BL06
2113053751 2321080 18I GLO. MB  55 BI06A
2113053751 2321087 18I GLO. MB  55 BJ06F
2113053751 2281056 18P GLO. NA  55 HF02
2113053751 2321099 18P GLO. MB  55 BK06
2113053751 2321091 18P GLO. B   55 BG06
2113053751 2321000 18O GLO. B   55 BJ06
2113053751 2211075 18O GLO. NA  55 HA12
2113053751 2321081 18O GLO. MB  55 BJ06A
2113053751 2212001 18O GLO. NA  55 HA06
2113053751 2255145 19I GLO. NA  55 HJ01
2113053751 2242036 19I GLO. NA  55 HA01
2113053751 2224073 19I GLO. NA  55 HF01
2113053751 2255064 19I REC. MB  55 J55064
2113053751 2255065 19I REC. MB  55 J55065
